0.0*MaxFES;0.001*MaxFES;0.01*MaxFES;0.1*MaxFES;0.2*MaxFES;0.3*MaxFES;0.4*MaxFES;0.5*MaxFES;0.6*MaxFES;0.7*MaxFES;0.8*MaxFES;0.9*MaxFES;1.0*MaxFES
1682.669620171852;1656.3394139974234;1461.4073181105605;1400.3611870590398;1400.3611870590398;1400.3611870590398;1400.3174610232884;1400.3174610232884;1400.274411739501;1400.274411739501;1400.274411739501;1400.274411739501;1400.274411739501;
1869.5190590985771;1749.4016243682272;1440.2982578718686;1400.3544961538885;1400.3178895080518;1400.3178895080518;1400.3178895080518;1400.3178895080518;1400.2943332279297;1400.2615419283493;1400.2615419283493;1400.2615419283493;1400.2615419283493;
1935.340386409467;1896.3614615939432;1535.6110382082074;1400.3747137516127;1400.3321883669448;1400.3321883669448;1400.3321883669448;1400.3321883669448;1400.3222763117292;1400.3134995284054;1400.3134995284054;1400.3134995284054;1400.3134995284054;
1812.9682848203001;1703.6063127601149;1435.052042547529;1400.4321384405969;1400.3808845632211;1400.3625970009516;1400.359897904341;1400.3400340393246;1400.314048492655;1400.314048492655;1400.295576084396;1400.2854640254156;1400.2854640254156;
1810.6762066975616;1711.2460508665988;1480.8943175589716;1400.3628405100628;1400.3628405100628;1400.341587870164;1400.3212327479077;1400.3212327479077;1400.2447750177078;1400.2447750177078;1400.2447750177078;1400.2447750177078;1400.2447750177078;
1810.6931637932853;1776.8939309465482;1490.0393012939944;1400.8402121409435;1400.8402121409435;1400.8316678805922;1400.8316678805922;1400.8115139365405;1400.8115139365405;1400.7870303397042;1400.6987931449153;1400.6987931449153;1400.6987931449153;
1914.1447120384933;1790.477169097097;1493.0793480007978;1400.4803136370595;1400.4803136370595;1400.4733841129705;1400.4185175554671;1400.4185175554671;1400.381375524787;1400.3583482611814;1400.3563622296488;1400.3563622296488;1400.3563622296488;
1928.3298499237762;1805.3664975709596;1487.866707334158;1400.4132285578053;1400.3234320947222;1400.3234320947222;1400.3234320947222;1400.3234320947222;1400.3234320947222;1400.3234320947222;1400.3234320947222;1400.2752645807177;1400.2752645807177;
1837.9313756639629;1773.4035044324398;1463.1407754594998;1400.4036171310522;1400.342037750218;1400.342037750218;1400.2545620518033;1400.2545620518033;1400.2545620518033;1400.2545620518033;1400.2545620518033;1400.2545620518033;1400.2545620518033;
1844.1403778237934;1812.8703341310506;1470.9245067857205;1400.3747034128728;1400.3079906656026;1400.3079906656026;1400.3079906656026;1400.2872342683193;1400.2872342683193;1400.2872342683193;1400.2872342683193;1400.2872342683193;1400.2872342683193;
1952.4690450477858;1824.5944212559737;1450.1786011716638;1400.4229828524349;1400.3519951704086;1400.3446086958802;1400.3184446880725;1400.3184446880725;1400.3103519506012;1400.3103519506012;1400.3103519506012;1400.3094456545743;1400.3094456545743;
1855.9009066783651;1792.7767628170468;1536.3055209537083;1400.3247321725917;1400.3247321725917;1400.306141664687;1400.306141664687;1400.3020530335712;1400.3020530335712;1400.3020530335712;1400.3020530335712;1400.272017216072;1400.272017216072;
1778.8800019875898;1771.719997462691;1450.2071082088955;1400.3517068513502;1400.3204922430848;1400.3204922430848;1400.3204922430848;1400.3204922430848;1400.3132072482206;1400.2587659237156;1400.2587659237156;1400.2587659237156;1400.2587659237156;
1807.0299254488184;1761.457271683964;1485.6227590272176;1400.2921478127923;1400.2921478127923;1400.2736551353626;1400.2736551353626;1400.2736551353626;1400.2736551353626;1400.2736551353626;1400.2736551353626;1400.2736551353626;1400.2736551353626;
1790.2378145509638;1769.7654386474574;1494.7081601271161;1400.3560626670876;1400.3560626670876;1400.3202809207999;1400.3202809207999;1400.2852457830322;1400.2852457830322;1400.2852457830322;1400.2852457830322;1400.2852457830322;1400.2852457830322;
1909.1276700654323;1695.37737892489;1435.8455357248597;1400.347831342585;1400.347831342585;1400.347831342585;1400.3242604798195;1400.3242604798195;1400.3242604798195;1400.3242604798195;1400.3242604798195;1400.2359687306828;1400.2359687306828;
1752.526644870455;1739.9871261794133;1462.040017523369;1400.3088016301213;1400.3088016301213;1400.282311408515;1400.282311408515;1400.2773950682297;1400.2773950682297;1400.2773950682297;1400.2773950682297;1400.2646450985987;1400.2646450985987;
1766.7591288984408;1724.056873462142;1450.7533373549873;1400.3409245506023;1400.2721231690448;1400.2721231690448;1400.2721231690448;1400.2721231690448;1400.2721231690448;1400.2721231690448;1400.2721231690448;1400.2721231690448;1400.2721231690448;
1720.2883619113932;1720.2883619113932;1446.6860720134368;1400.3837113899137;1400.2609736309682;1400.2609736309682;1400.2609736309682;1400.2609736309682;1400.2609736309682;1400.2331368354412;1400.2331368354412;1400.2331368354412;1400.2331368354412;
1773.220788227366;1773.220788227366;1461.4614117682909;1400.4598924725206;1400.3567311078657;1400.3567311078657;1400.3567311078657;1400.3567311078657;1400.3334626073502;1400.3334626073502;1400.3145937320123;1400.3145937320123;1400.305738685949;
1802.0094696506058;1779.1334068013352;1480.91977419167;1400.342993820251;1400.2698375884365;1400.2698375884365;1400.2698375884365;1400.2698375884365;1400.2698375884365;1400.2698375884365;1400.2698375884365;1400.2632580268516;1400.2632580268516;
1940.4470175075678;1615.8369879658003;1465.8589561569665;1400.391130737131;1400.3564111390008;1400.3300326083156;1400.2696013147615;1400.2696013147615;1400.2696013147615;1400.2696013147615;1400.2696013147615;1400.2696013147615;1400.2696013147615;
