0.0*MaxFES;0.001*MaxFES;0.01*MaxFES;0.1*MaxFES;0.2*MaxFES;0.3*MaxFES;0.4*MaxFES;0.5*MaxFES;0.6*MaxFES;0.7*MaxFES;0.8*MaxFES;0.9*MaxFES;1.0*MaxFES
1528.4260244440163;1528.4260244440163;1218.703313455752;1115.544687575844;1106.433233608961;1105.7212102658164;1100.89514104281;1100.89514104281;1095.0834529758063;1085.0059919313862;1085.0059919313862;1073.3865966911003;1073.3865966911003;
1545.6580356629265;1498.5289737193184;1235.9238230705712;1125.3864635928117;1096.9084816348147;1096.9084816348147;1096.9084816348147;1088.0888225373212;1088.0888225373212;1088.0888225373212;1081.9858689594953;1081.9858689594953;1081.9858689594953;
1549.6349293942767;1525.9022113202745;1216.1947243185614;1116.3624854587322;1106.8955400863033;1106.8955400863033;1093.4971329188413;1093.4971329188413;1078.6378432562985;1078.6378432562985;1078.6378432562985;1078.6378432562985;1062.6380337736578;
1504.88410770926;1474.6177340393156;1223.8543021965759;1130.3933766622695;1112.9180730865783;1104.6385396788073;1095.4438666545643;1079.939660706802;1079.939660706802;1079.939660706802;1079.939660706802;1079.939660706802;1079.939660706802;
1580.5053486106217;1580.5053486106217;1251.0365834914687;1118.5522872645522;1095.8093182765726;1095.8093182765726;1094.5387419638714;1094.5387419638714;1094.5387419638714;1076.616522901663;1076.616522901663;1076.616522901663;1076.616522901663;
1526.5099271544336;1526.5099271544336;1255.0307821648264;1108.712529462361;1108.712529462361;1105.8338186459187;1076.4422775204296;1076.4422775204296;1076.4422775204296;1076.4422775204296;1076.4422775204296;1076.4422775204296;1074.4371271916148;
1417.2177280259266;1417.2177280259266;1251.739884101401;1087.2519973485844;1087.2519973485844;1076.9778592125067;1067.7092311480774;1067.7092311480774;1067.7092311480774;1067.7092311480774;1067.7092311480774;1067.7092311480774;1067.7092311480774;
1519.8265323605615;1407.6790202512302;1246.27075909145;1132.7417645182418;1108.8077818561849;1108.8077818561849;1106.5645502932462;1080.7691176677674;1080.7691176677674;1077.6709036811806;1069.4931717004695;1069.4931717004695;1069.4931717004695;
1479.879652470177;1479.879652470177;1275.6945474843305;1099.4027509170485;1099.4027509170485;1077.2564391009987;1077.2564391009987;1077.2564391009987;1063.7247130761814;1063.7247130761814;1063.7247130761814;1063.7247130761814;1063.7247130761814;
1519.8758488752046;1472.120047314247;1216.8772385315356;1118.6893739684351;1102.0349172640333;1092.4074524693183;1092.4074524693183;1088.4683529058339;1088.4683529058339;1079.7040763028372;1079.7040763028372;1079.7040763028372;1079.7040763028372;
1442.180310477315;1442.180310477315;1284.9596303719654;1104.0462384386256;1091.4556071548857;1087.8782431473053;1087.8782431473053;1087.8782431473053;1068.504102837861;1068.504102837861;1068.504102837861;1068.504102837861;1068.504102837861;
1553.6167327582832;1517.8391829247985;1258.033318819717;1088.1944840811452;1088.1944840811452;1085.8310536218062;1085.8310536218062;1078.841690174766;1078.841690174766;1078.841690174766;1078.841690174766;1076.1281754317338;1076.1281754317338;
1511.81691271162;1504.3761019732915;1243.688523227922;1096.0585735328036;1096.0585735328036;1070.486557822482;1070.486557822482;1070.486557822482;1070.486557822482;1070.486557822482;1070.486557822482;1070.486557822482;1070.486557822482;
1462.5092705034879;1462.5092705034879;1221.464205903033;1066.282228276832;1066.282228276832;1066.282228276832;1066.282228276832;1066.282228276832;1066.282228276832;1066.282228276832;1066.282228276832;1066.282228276832;1066.282228276832;
1587.9928390924122;1394.256295913336;1211.1726060604253;1127.8123502467204;1113.8081781639864;1099.1614881344415;1093.4892746287924;1093.4892746287924;1092.7999117088134;1068.0057028196627;1068.0057028196627;1068.0057028196627;1068.0057028196627;
1611.0587611262727;1371.498624686339;1189.0160000568012;1104.7637047628798;1097.4058647726692;1093.7357300699755;1093.7357300699755;1092.6728844636764;1092.6728844636764;1092.6728844636764;1076.5736837802392;1076.5736837802392;1076.5736837802392;
1475.4023983956101;1459.0632849976014;1235.0656067000782;1121.5433475214402;1090.4724110784628;1084.7514756267358;1078.2982837096001;1078.2982837096001;1078.2982837096001;1077.3648560823851;1077.3648560823851;1077.3648560823851;1077.3648560823851;
1507.7777976938623;1484.3321244499718;1198.6185490314558;1110.435259032261;1110.435259032261;1105.3462509471858;1097.2883620037874;1083.9559355297754;1083.9559355297754;1070.257829500796;1070.257829500796;1070.257829500796;1070.257829500796;
1496.6393052147544;1496.6393052147544;1248.5454164708176;1096.1209765844283;1080.194631407635;1080.194631407635;1080.194631407635;1080.194631407635;1080.194631407635;1080.194631407635;1070.4843595754255;1042.5613796014666;1042.5613796014666;
1547.417805962879;1479.9488219619093;1241.2431012870077;1108.5296721066923;1093.2632143914382;1090.4812059794365;1089.5423888264972;1082.3804322175652;1081.388427379535;1081.388427379535;1081.388427379535;1081.388427379535;1081.388427379535;
1461.2917078478438;1461.2917078478438;1216.6414780409573;1106.0702678489295;1086.7634041932747;1086.7634041932747;1086.7634041932747;1086.7634041932747;1086.7634041932747;1086.4548781545525;1086.4548781545525;1086.4548781545525;1076.2839930200464;
1534.1401839181672;1534.1401839181672;1259.6881397528705;1102.5223151809025;1096.1634475064711;1090.0573732216696;1090.0573732216696;1073.0195014008548;1073.0195014008548;1073.0195014008548;1073.0195014008548;1073.0195014008548;1073.0195014008548;
1541.51115803939;1489.1244606078462;1219.2830789942323;1129.2269117369121;1112.1392442768047;1090.959512889266;1090.959512889266;1077.3546633136098;1077.3546633136098;1077.3546633136098;1071.815810243925;1066.7411879474048;1066.7411879474048;
1533.8645907946973;1454.4231795362057;1217.3354664974097;1128.9119700833755;1089.550016124826;1088.7632440016068;1088.7632440016068;1088.7632440016068;1088.7632440016068;1088.7632440016068;1081.7406735375798;1079.9305896883134;1079.9305896883134;
1584.7927342539551;1501.2587348583315;1232.2205202452615;1109.6049076671934;1084.400317743877;1084.400317743877;1084.400317743877;1077.0110667637848;1077.0110667637848;1077.0110667637848;1077.0110667637848;1077.0110667637848;1077.0110667637848;
1471.0432277277876;1471.0432277277876;1223.6513892473772;1117.6696142294106;1085.9456176003964;1085.9456176003964;1085.9456176003964;1076.7764127116154;1076.7764127116154;1076.7764127116154;1071.950532614845;1071.950532614845;1060.074939763063;
1488.595682949886;1488.595682949886;1268.5953027307244;1123.3951324447646;1077.9979671852675;1077.9979671852675;1077.9979671852675;1077.9979671852675;1077.9979671852675;1077.9979671852675;1077.9979671852675;1067.6681829346642;1067.6681829346642;
1506.2114585386923;1506.2114585386923;1252.4474683220758;1080.1069994716963;1080.1069994716963;1080.1069994716963;1080.1069994716963;1080.1069994716963;1072.7939244369409;1072.7939244369409;1067.773896817287;1067.773896817287;1067.773896817287;
1586.0850349136679;1562.276282350215;1224.3332624518698;1114.626791707275;1105.547521594783;1105.547521594783;1085.1981702174419;1085.1981702174419;1085.1981702174419;1085.1981702174419;1080.202038368863;1064.4313286832755;1064.4313286832755;
1464.0457257492915;1464.0457257492915;1239.650896735402;1127.608884944192;1105.8365590094359;1091.9227317467685;1091.9227317467685;1091.9227317467685;1091.9227317467685;1091.9227317467685;1087.4952382210724;1087.4952382210724;1087.4952382210724;
1451.7653011855905;1451.7653011855905;1204.299930129071;1112.2395447966544;1100.6184420702984;1100.6184420702984;1094.862080412684;1094.862080412684;1084.6484612236914;1074.3078624198295;1074.3078624198295;1074.3078624198295;1074.3078624198295;
1613.4393279193378;1527.0219851008806;1241.3692205222446;1119.1701806973551;1108.592287986377;1101.408021303672;1081.1576007461554;1081.1576007461554;1081.1576007461554;1081.1576007461554;1081.1576007461554;1081.1576007461554;1081.1576007461554;
1624.4880453399778;1467.4742496774275;1257.9024985154604;1128.0522168130747;1091.7584261321012;1076.7349457949938;1076.7349457949938;1076.7349457949938;1076.7349457949938;1076.7349457949938;1076.7349457949938;1076.7349457949938;1076.7349457949938;
