0.0*MaxFES;0.001*MaxFES;0.01*MaxFES;0.1*MaxFES;0.2*MaxFES;0.3*MaxFES;0.4*MaxFES;0.5*MaxFES;0.6*MaxFES;0.7*MaxFES;0.8*MaxFES;0.9*MaxFES;1.0*MaxFES
1788.0065643838482;1761.981036767597;1556.188909481733;1429.8401448818647;1417.573374364736;1410.6212691489327;1400.3034242809542;1400.2858150745542;1400.3089254355298;1400.2854006462599;1400.327522205827;1400.27951976497;1400.2705140199423;
1886.6910343724687;1825.4388818726088;1565.8788412695528;1419.5867800256344;1407.8354984630519;1400.3087696451805;1400.2880475314164;1400.2895419653798;1400.2970694261098;1400.2929343644435;1400.2883407989598;1400.294698859427;1400.3250537007382;
1887.0615366781649;1768.2530958246039;1514.355043171108;1400.33355755774;1400.3299834758172;1400.314726711637;1400.3217946271293;1400.326949747682;1400.322682288227;1400.3427074830258;1400.3573499040053;1400.3239240632581;1400.3343710438467;
1848.719180688237;1850.7465389812794;1548.1068451354347;1414.1552089889428;1400.36653923155;1400.3288845381624;1400.3143494553547;1400.3139592664934;1400.3089403810964;1400.3249892422245;1400.3016634444746;1400.3322390746398;1400.339276299682;
1805.911955470743;1759.072791842693;1551.0500971473512;1400.3022706501597;1400.2918736803165;1400.2954003911;1400.2978859182722;1400.2922482293275;1400.320839847663;1400.3179931556774;1400.3113354642874;1400.2844486184244;1400.313916227562;
1785.061510095395;1728.7432985665585;1520.7543513005246;1427.5130705713548;1415.0255608410055;1400.284921950133;1400.2687575887783;1400.33143405291;1400.2670416327546;1400.2669949120236;1400.2711919093824;1400.3418412464719;1400.2561174129307;
1881.1288086160037;1834.4953134159541;1589.0293821284984;1411.3342112912376;1401.1552482697184;1401.145717717779;1401.121685456272;1401.1107529986866;1401.1303157327409;1401.1098532540725;1401.1428720691083;1401.132942824751;1401.1401452052116;
1856.4902348332837;1739.8571951837419;1521.753218984555;1412.687670762772;1400.3098672718777;1400.277171180155;1400.2967624881562;1400.271529001421;1400.2760726995116;1400.2818875678536;1400.292038592826;1400.282245358092;1400.2969925979603;
1888.816221572578;1768.5047052669684;1503.7156306060474;1401.1782610871664;1401.1263241730926;1401.1792082548268;1401.1183892060706;1401.1134056854708;1401.1241731967366;1401.123155939637;1401.1370864898852;1401.13222050149;1401.1174043786673;
1863.3674823222896;1782.0496998710137;1562.4983107189175;1406.4251785220147;1400.4072737593822;1400.2909858044532;1400.2985381398134;1400.304808228686;1400.28134778412;1400.2898055111073;1400.3073793499123;1400.3080011970374;1400.2908088275142;
1763.175363276986;1672.652231724119;1466.519123393644;1400.2822959673363;1400.2779314049521;1400.2958148614068;1400.3766599227638;1400.288190522926;1400.2815758903807;1400.2801271279923;1400.3007275056925;1400.299661348994;1400.2782050851965;
1771.867914474695;1705.3174231039447;1511.3048743414756;1408.8753710932237;1400.3091682314175;1400.3211062736095;1400.3246189923311;1400.308816554426;1400.3220607150645;1400.3241472654029;1400.3288680657881;1400.3179672783701;1400.326978226597;
1855.8187434421131;1741.1109708287697;1549.3087470865328;1400.3495689046622;1400.337557981378;1400.2990356959954;1400.2990562879088;1400.2843467792068;1400.3451202402237;1400.280172905899;1400.3866669913336;1400.2890167357434;1400.2883279200348;
1876.8939010310316;1832.3957119657439;1550.0730056422776;1409.8035420059607;1400.3392828496303;1400.3680173115845;1400.3440217868408;1400.2914957696207;1400.334633626574;1400.267477931047;1400.283083926426;1400.2771096218532;1400.3795357922809;
1829.720728365702;1855.0225661811446;1523.520105495084;1400.3458713602329;1400.3130205324155;1400.3069265046379;1400.344148828387;1400.3570687052966;1400.3259826044439;1400.3368973208903;1400.297128472628;1400.3008280119143;1400.277744308806;
