0.0*MaxFES;0.001*MaxFES;0.01*MaxFES;0.1*MaxFES;0.2*MaxFES;0.3*MaxFES;0.4*MaxFES;0.5*MaxFES;0.6*MaxFES;0.7*MaxFES;0.8*MaxFES;0.9*MaxFES;1.0*MaxFES
4416960081.511853;2241056621.778547;944422727.924804;209557766.16445097;100497965.84662446;51331174.73589502;35911537.92663237;25890012.12856249;21049057.10016143;15680669.332076518;10402270.129152358;7388875.515426242;5970322.375204254;
3471278284.889779;3193729731.156846;1365166026.6249585;166387866.1282954;29564388.395152073;17307533.39903027;9067749.440914514;5945618.434945964;4885181.660778683;3724287.212374412;3174176.436418951;2639909.512949661;2258573.82085155;
2576163808.070286;2272529010.1520576;620090631.144754;177941468.71124184;64002093.9066434;42428592.597073294;29835094.921267617;20377219.020493608;11181412.509935107;7116140.263596782;6009445.384173028;5370616.026524296;4820063.984802753;
4058609698.0071025;2500132584.3261347;1058023704.1744272;313153756.173504;143382151.58329535;91291864.57583152;60821877.609557115;42576782.25240378;29512659.359659076;22920002.387519322;20444960.333970923;18959846.005712785;15650235.95099763;
2601393958.0430403;2282229535.3421016;876537645.1464852;151767266.5281281;81986980.54384257;35377380.44897282;13971943.96768616;9837837.475818172;8550766.099635288;4288049.698269878;3547282.9445644626;2709483.1539308866;2146527.741529365;
3620411678.9244385;2151667203.707041;502324547.9564475;96687836.72792977;35816014.80516739;21493275.6474033;12350800.871164411;9973910.640167737;7181605.927807688;4932708.099596551;3648253.2842145413;2931274.296538717;2523972.3153859456;
3173234669.4633274;3101214990.8740005;995206608.6205548;165296329.66920328;73275985.20924106;33932421.9683298;14413963.891529126;10219084.662590623;7758504.921277689;5143723.884944983;4443457.408976898;3388973.0120911575;1923119.9423631264;
3430203865.93798;3027007040.942534;839571561.0019901;304129385.9876956;116925464.61903878;66493469.03766522;39445827.268326186;30146328.23333444;20941297.113435846;17993215.135695253;12326044.115176242;11007303.361421252;10203546.947075473;
4971133077.01034;2622146519.394759;1138992840.1715124;321634260.60605973;87380825.88712321;43112191.414006665;22834302.503267378;12424011.628479613;7035045.2598805195;7035045.2598805195;4704642.455512551;3842421.0286909346;3722529.2707292656;
3748487616.3277416;1426120000.589266;871035288.3022989;131653311.0964409;42876911.24272718;24208483.56208401;18395777.374188438;14401106.439574948;8692823.903095633;8692823.903095633;7189867.19027093;5267377.967607186;4181422.124635107;
