0.0*MaxFES;0.001*MaxFES;0.01*MaxFES;0.1*MaxFES;0.2*MaxFES;0.3*MaxFES;0.4*MaxFES;0.5*MaxFES;0.6*MaxFES;0.7*MaxFES;0.8*MaxFES;0.9*MaxFES;1.0*MaxFES
14146869546.41343;11558423568.652336;4868361490.667229;679480.1064680961;472.4347745996222;200.06118436263486;200.00000884747655;200.00000000445786;200.00000000000045;200.0;200.0;200.0;200.0;
20359473935.896862;20359473935.896862;1453005210.1477206;609504.0318648905;290.3557702421367;200.0112929527218;200.00000623123427;200.00000000088383;200.00000000000054;200.0;200.0;200.0;200.0;
9662371772.080904;7956618720.017883;1411695028.6098108;16109.055756154785;200.45776141925182;200.00001582157438;200.00000000120994;200.00000000000003;200.0;200.0;200.0;200.0;200.0;
15491666269.074343;8074855848.025718;1767658180.3735957;13573.772085821245;201.0575384376617;200.00007839929447;200.00000000527027;200.00000000000054;200.0;200.0;200.0;200.0;200.0;
13292714941.14455;13292714941.14455;2233249782.811196;36728.79296884293;204.32155614306618;200.00055748679227;200.0000000371967;200.000000000002;200.0;200.0;200.0;200.0;200.0;
16830112036.702423;13520742189.566751;1045661168.1501395;146709.10245164548;213.292031898693;200.00214934990353;200.0000001243216;200.00000000001185;200.0;200.0;200.0;200.0;200.0;
10157637177.568493;10157637177.568493;2861474782.651149;27996.93321818849;201.10799710911851;200.00005054095627;200.00000000289594;200.00000000000006;200.0;200.0;200.0;200.0;200.0;
13367446251.632353;13367446251.632353;1553311409.7372394;55160.57879252902;201.7612054660726;200.00005850119905;200.00000000169854;200.00000000000006;200.0;200.0;200.0;200.0;200.0;
14370770594.38796;5135236199.913332;1716643277.8252637;16734.477307811783;201.41574776145868;200.00004947293624;200.00000000448594;200.00000000000014;200.0;200.0;200.0;200.0;200.0;
13031265033.164284;13031265033.164284;1576486752.4032571;113755.86178138957;210.9599078468266;200.000802491961;200.0000000215232;200.0000000000016;200.0;200.0;200.0;200.0;200.0;
11197452094.85376;11197452094.85376;3349318475.022823;171430.81784362765;228.09192834562631;200.00553351730107;200.00000079963664;200.00000000014947;200.00000000000003;200.0;200.0;200.0;200.0;
17188437093.91521;17188437093.91521;2490292803.8411818;3126.9400948210573;200.01236113466473;200.0000000578347;200.00000000000048;200.0;200.0;200.0;200.0;200.0;200.0;
19227042161.962624;17030997547.303131;3418993017.2204576;1157672.0930092956;512.4378712424987;200.42840359115743;200.0000755494291;200.00000002342773;200.000000000022;200.0;200.0;200.0;200.0;
16330650204.070044;16330650204.070044;1440347154.686734;13010.937003004652;200.35221294697814;200.0000061466354;200.00000000010294;200.0;200.0;200.0;200.0;200.0;200.0;
10609648515.8641;8722636301.075287;1422551829.527202;7349.393567984923;200.14496622211183;200.00000049863962;200.00000000000762;200.0;200.0;200.0;200.0;200.0;200.0;
18966031839.16363;4736246019.408287;1390177457.7865415;22437.760066486044;200.27207560807102;200.00000411723582;200.00000000003266;200.0;200.0;200.0;200.0;200.0;200.0;
14837607687.179804;10752189019.646143;1112506820.1746151;1658.0884077659568;200.01006741441384;200.0000002365618;200.00000000001097;200.0;200.0;200.0;200.0;200.0;200.0;
11313608640.38672;11313608640.38672;2140466882.9821956;116725.52649003683;201.94371408403134;200.00005899570857;200.00000000218913;200.00000000000009;200.0;200.0;200.0;200.0;200.0;
14817733897.654537;14817733897.654537;2237629784.0118947;65083.627110992624;203.84091193432081;200.00118034939914;200.00000007169808;200.0000000000086;200.0;200.0;200.0;200.0;200.0;
12871075772.416218;12168784953.965307;858379034.3943999;13039.653395351932;200.07392957166402;200.00000024030598;200.0000000000011;200.0;200.0;200.0;200.0;200.0;200.0;
19450054812.850586;9754987246.027523;2655514467.284587;38502.155702429045;202.95587579205588;200.0000321730718;200.0000000028201;200.00000000000014;200.0;200.0;200.0;200.0;200.0;
17547021822.053776;17547021822.053776;3438860803.144738;682030.4786978342;411.34636776084415;200.1004337502258;200.00004548716473;200.00000004465554;200.00000000001336;200.0;200.0;200.0;200.0;
16987191747.95485;16987191747.95485;903023876.7311127;7066.744216883518;200.17364649539286;200.0000025738229;200.0000000000453;200.0;200.0;200.0;200.0;200.0;200.0;
18384924557.037148;11238964557.587624;2747255062.9192324;127146.09191841187;207.0278204538881;200.00037376312432;200.00000002289758;200.00000000000128;200.0;200.0;200.0;200.0;200.0;
10346400191.751263;10346400191.751263;2237656382.257229;17952.733811751637;200.58205239620364;200.00000488547695;200.00000000054726;200.00000000000003;200.0;200.0;200.0;200.0;200.0;
15056074167.873247;15056074167.873247;2526154201.086519;60646.65905542033;207.86721147137837;200.00079294851076;200.0000000329737;200.00000000000637;200.0;200.0;200.0;200.0;200.0;
14947665729.931551;12863709520.512844;1447751056.82385;22603.723085485715;200.30865387047405;200.0000119867696;200.0000000002447;200.0;200.0;200.0;200.0;200.0;200.0;
20823497903.692043;20823497903.692043;1055188358.4329557;3786.6631232365403;200.4061382115745;200.00000306069504;200.00000000001057;200.0;200.0;200.0;200.0;200.0;200.0;
15200861856.126368;15200861856.126368;3342412724.1367917;258062.3600318147;218.55050575956773;200.00495782700642;200.00000037734048;200.00000000003095;200.0;200.0;200.0;200.0;200.0;
