0.0*MaxFES;0.001*MaxFES;0.01*MaxFES;0.1*MaxFES;0.2*MaxFES;0.3*MaxFES;0.4*MaxFES;0.5*MaxFES;0.6*MaxFES;0.7*MaxFES;0.8*MaxFES;0.9*MaxFES;1.0*MaxFES
798.8936664401909;829.0424024984536;720.4668370906977;702.6794871860282;701.107825923894;701.1043664821826;701.1643537878947;701.1092628461902;701.0904413882166;701.0785714128756;701.1707974120601;701.1666864136611;701.4033229790706;
937.1134917311538;872.6157907947996;778.2749111158787;701.9736783980977;701.0185162526343;700.9279743049944;700.9173139387852;700.9084815623413;700.8642392203019;700.9678296039394;700.8706805258023;700.8537373311491;700.8433884252872;
852.3626065073155;860.5656616052835;754.0681213119017;728.942355908314;723.0146131958975;717.3499490991821;714.2328226997689;709.18159267564;704.079802563664;701.9731947283226;701.5538710549861;701.6190560826709;700.9397027798916;
887.3123919986618;812.3152468038807;763.3385161542587;718.32633886308;716.5434546812876;707.2217107845302;704.2974270902059;703.369768064561;703.0854064680321;702.0136472312898;701.9383444513647;701.7455881273402;701.7448723866722;
919.5990731978748;892.584248154559;707.3471505824714;701.137243803691;701.1255730483574;700.7032465242884;701.0576183960449;700.5816431514057;700.3909743143518;700.381306745656;700.3375838668901;700.3569367614589;700.328083723245;
914.4329452854407;827.094806026344;714.4858170280512;703.2834803747099;701.4016350779899;701.2254346287928;701.1582926490198;701.1411709481036;701.0723516853453;701.246930584312;701.2461141523207;701.177154879188;701.1786300639469;
878.898386166512;879.8851644764999;727.5927774632428;701.2210561203322;700.6184767725393;700.605385394098;700.6011200126206;700.6921454957939;700.5512392348742;700.7562286087272;700.6164852784971;700.7804183920259;700.6850994199976;
976.1437574624604;940.615907247774;773.0567448759653;708.9814276227411;706.9075760624478;706.8483495329142;706.8238091540861;705.1295208822289;704.8228989350142;704.4798537997051;703.6320302747521;702.6816724293511;702.6345777074558;
844.5346691795521;838.9233785748127;709.4288631676698;702.0476331865312;701.4922904641815;701.434134870681;701.3841708441564;701.1167670665441;701.3173045840166;701.0414268394464;701.0268673221665;701.010176766621;701.0092429658929;
888.9181440248831;1032.9036236222046;807.4107264659799;706.8237079346964;705.2060034888418;704.8544048744174;704.3052968182296;704.7318780402479;704.873492926673;702.6793869829819;702.1792870682978;702.0434683951217;702.0203514756533;
854.4707502945071;828.5789975498142;736.8693809056831;700.7288760743529;700.4189372151317;700.2753405073535;700.2748705839168;700.2252314500962;700.2717636667631;700.5114121902797;700.4651249555864;700.1668433241581;700.1687084114624;
938.9358426929347;898.0080518318742;807.2829478135322;791.1455257406936;776.177671308538;769.0389840006336;758.5642441046562;753.1592882774929;743.1542461225184;737.5187827333168;728.6429091675759;722.5603150216959;715.4322687094583;
